"Borough","NTAName","SiteName","SiteAddr","Hosted_By","Open_Month","Day_Hours","Notes","Website","BoroCD","CouncilDis","ct2010","BBL","BIN","Latitude","Longitude","PolicePrec","Object.ID","Location.Point","App.Android","App.iOS","X.Assembly.District","X.Congress.District","DSNY.District","X.DSNY.Section","DSNY.Zone","Senate.District"
"Brooklyn","Bay Ridge","4th Avenue Presbyterian Church","6753 4th Avenue, Brooklyn, NY 11220","4th Avenue Presbyterian Church","Year Round","Every day (Start Time: Dawn - End Time:  Dusk)","No meat, bones, or dairy.","",310,47,3012600,NA,NA,40.635514,-74.022767,68,60813,"POINT (-74.022767 40.635514)","","",51,10,"BKS10","BKS101","BKS",17
"Manhattan","East Midtown-Turtle Bay","Dag Hammarskjold Plaza Greenmarket","E 47th St & 2nd Ave","GrowNYC","Year Round","Wednesday (Start Time: 8:00 AM - End Time:  12:30 PM)","","grownyc.org/compost",106,4,1009000,NA,NA,40.752606,-73.969036,17,60673,"POINT (-73.969036 40.752606)","","",74,12,"MN06","MN063","MN",28
"Manhattan","Hell's Kitchen","Hudson River Park's Pier 84 at W. 44th St.","Pier 84 at W. 44th St. near dog park","Staff at Hudson River Park","Year Round","Every day (Start Time: 7:00 AM - End Time:  7:00 PM)","","https://hudsonriverpark.org/the-park/sustainability/community-compost-program/",104,3,1012901,NA,NA,40.76346,-74.00025,18,60641,"POINT (-74.00025 40.76346)","","",67,12,"MN04","MN043","MN",47
"Manhattan","East Midtown-Turtle Bay","58th Street Library FSDO","127 East 58th Street","GrowNYC","Year Round","Wednesdays (Start Time: 7:30 AM - End Time:  1:30 PM)","","grownyc.org/compost",105,4,1011203,NA,NA,40.76198,-73.9693,18,60634,"POINT (-73.9693 40.76198)","","",73,12,"MN05","MN052","MN",28
"Manhattan","Tribeca-Civic Center","Tribeca Greenmarket","Greenwich St. & Duane St","GrowNYC","Year Round","Saturday (Start Time: 8:00 AM - End Time:  1:00 PM)","","grownyc.org/compost",101,1,1003900,NA,NA,40.717424,-74.010793,1,60546,"POINT (-74.010793 40.717424)","","",66,10,"MN01","MN013","MN",27
"Staten Island","St. George-New Brighton","St. George Greenmarket","St. Marks Pl and Hyatt St","NYC Compost Project Hosted by Snug Harbor Cultural Center & Botanical Garden","Year Round","Saturday (Start Time: 8:00 AM - End Time:  1:00 PM)","","snug-harbor.org",501,49,5000300,NA,NA,40.641967,-74.077928,120,60506,"POINT (-74.077928 40.641967)","","",61,11,"SI01","SI012","SI",23
"Manhattan","Manhattanville-West Harlem","St. Mary's Harlem","521 W 126th St, New York, NY 10027","GrowNYC","Year Round","Friday (Start Time: 8:30 AM - End Time:  12:30 PM)","No meat, bones, or dairy","stmarysharlem.org",109,7,1021900,NA,NA,40.8149687,-73.9560903,26,60491,"POINT (-73.9560903 40.8149687)","","",70,13,"MN09","MN092","MN",30
"Brooklyn","Crown Heights (North)","1100 Bergen Street Community Garden","1107 Bergen Street, Brooklyn, NY 11216","Volunteers at 1100 Bergen Street Community Garden","Year Round","Sunday (Start Time: 10:00 AM - End Time:  3:00 PM)","","https://bqlt.org/garden/1100-block-bergen-st-community-garden",308,36,3031500,NA,NA,40.67629,-73.94925,77,60467,"POINT (-73.94925 40.67629)","","",56,9,"BKN08","BKN082","BKN",20
"Brooklyn","Prospect Park","Nurture BK","Prospect Park, West of the entrance on Parkside Av (& Ocean Av)","Nurture BK","Year Round","Sunday (Start Time: 9:00 AM - End Time:  11:00 AM)","","https://www.instagram.com/nurturebk_compost/",355,39,3017700,NA,NA,40.654917,-73.962083,78,60451,"POINT (-73.962083 40.654917)","","",44,10,"","","BKS",20
"Brooklyn","Bushwick (West)","BK Rot","1309 Dekalb Ave, Brooklyn, NY 11221 (Know Waste Lands Community Garden)","BK Rot","Year Round","Sunday (Start Time: 12:00 PM - End Time:  3:00 PM)","","BKrot.org",304,34,3042300,NA,NA,40.697694,-73.925806,83,60403,"POINT (-73.925806 40.697694)","","",53,7,"BKN04","BKN041","BKN",18
"Brooklyn","Fort Greene","Fort Greene Greenmarket","Washington Park and Myrtle Ave","GrowNYC","Year Round","Saturday (Start Time: 9:00 AM - End Time:  2:00 PM)","","grownyc.org/compost",302,35,3003102,NA,NA,40.69288,-73.97391,88,60822,"POINT (-73.97391 40.69288)","","",57,7,"BKN02","BKN024","BKN",25
"Staten Island","Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights","Grace Foundation","460w Brielle Avenue","Grace Foundation","Year Round","Monday (Start Time: 9:00 AM - End Time:  12:00 PM)","","graceofny.org",502,50,5018100,5009550100,5000000,40.592723,-74.135113,122,60891,"POINT (-74.135113 40.592723)","","",63,11,"SI02","SI023","SI",24
"Brooklyn","Brownsville","Iso Student Farm","514 Rockaway Avenue, Brooklyn, NY 11212","Volunteers at Isabahlia LOE Foundation","April - October","Friday and Saturday (Start Time: 9:00 AM - End Time:  1:00 PM)","","https://www.isabahlialoefinc.org/",316,41,3092400,NA,NA,40.6674207,-73.9102833,73,60803,"POINT (-73.9102833 40.6674207)","","",55,8,"BKN16","BKN162","BKN",25
"Manhattan","East Village","La Plaza Cultural Community Garden","674 East 9th Street","La Plaza Cultural Community Garden","April-November","Saturday and Sunday (Start Time: 2:00 PM - End Time:  4:00 PM)","Please carefully read instructions here: https://bit.ly/laplazadropoff","https://bit.ly/laplazadropoff",103,2,1002602,NA,NA,40.72534977,-73.97862785,9,60583,"POINT (-73.97862785 40.72534977)","","",74,10,"MN03","MN034","MN",27
"Queens","Baisley Park","South Jamaica Infinity Garden","150-04 115 Dr, Jamaica, NY, 11434","South Jamaica Infinity Garden","May - October","Sun& Weds (Start Time: Sun: 10:30AM - End Time:  Sun: 11:30AM)","","",412,28,4027200,NA,NA,40.683367,-73.7922279,113,60886,"POINT (-73.7922279 40.683367)","","",32,5,"QE12","QE125","QE",10
"Queens","Douglaston-Little Neck","St. Anastasia Roman Catholic Church","246-02 Northern Blvd; Enter the path to the right of the school yard to the student garden","St. Anastasia Roman Catholic Church","Year Round","Friday and Saturday (Start Time: Friday 8:00 AM, Saturday 12:00 PM - End Time:  Friday 12:00 PM, Saturday 12:30 PM)","","https://www.sta.nyc/",411,19,4150701,NA,NA,40.7657836,-73.7408196,111,60881,"POINT (-73.7408196 40.7657836)","","",26,3,"QE11","QE114","QE",11
"Brooklyn","Cypress Hills","Cypress Hills Farmstand","Fulton St, between Logan and Richmond Sts","GrowNYC","Year Round","Friday (Start Time: 10:00 AM - End Time:  1:00 PM)","No meat, bones, or dairy","grownyc.org/compost",305,37,3117800,NA,NA,40.68218,-73.87687,75,60835,"POINT (-73.87687 40.68218)","","",54,7,"BKN05","BKN052","BKN",18
"Queens","Long Island City-Hunters Point","Astoria Pug: Hunter's Point","46th Avenue and 5th Street","Astoria Pug","Year Round","Tuesday (Start Time: 9:00 AM - End Time:  12:00 PM)","","https://www.instagram.com/astoriapug/?hl=en",402,26,4000103,NA,NA,40.74777,-73.95486,108,60854,"POINT (-73.95486 40.74777)","","",36,7,"QW02","QW023","QW",59
"Bronx","Crotona Park East","Bronx River House / Starlight Park","1490 Sheridan Blvd","Bronx River Alliance","Year Round","Friday (Start Time: 9:00 AM - End Time:  11:00 AM)","","www.bronxriver.org",209,17,2015700,NA,NA,40.83285272,-73.88308033,43,60353,"POINT (-73.88308033 40.83285272)","","",85,14,"BX03","BX031","BX",32
"Manhattan","Upper West Side-Lincoln Square","Tucker Square Thursday Greenmarket","66th St and Columbus Ave.","GrowNYC","Year Round","Thursday (Start Time: 8:00 AM - End Time:  11:00 AM)","","grownyc.org/compost",107,6,1014900,NA,NA,40.773404,-73.981848,20,60706,"POINT (-73.981848 40.773404)","","",67,12,"MN07","MN071","MN",47
