"","NTAName","BoroName","latitude","longitude"
"1","Greenpoint","Brooklyn",40.7294994964572,-73.9495163341347
"2","Williamsburg","Brooklyn",40.7149141264938,-73.9586210725027
"3","South Williamsburg","Brooklyn",40.7032420441115,-73.9566587310061
"4","East Williamsburg","Brooklyn",40.7132993867329,-73.9364879093139
"5","Brooklyn Heights","Brooklyn",40.6954653662343,-73.9948301653051
"6","Downtown Brooklyn-DUMBO-Boerum Hill","Brooklyn",40.6948994402712,-73.9858303929075
"7","Fort Greene","Brooklyn",40.6911691737103,-73.9743613956643
"8","Clinton Hill","Brooklyn",40.6889983854651,-73.964462224414
"9","Brooklyn Navy Yard","Brooklyn",40.7012635250591,-73.971661452135
"10","Bedford-Stuyvesant (West)","Brooklyn",40.688956478273,-73.9510016798219
"11","Bedford-Stuyvesant (East)","Brooklyn",40.6866210828866,-73.9317917854828
"12","Bushwick (West)","Brooklyn",40.7009960653414,-73.9252708495532
"13","Bushwick (East)","Brooklyn",40.691244727072,-73.9129656513987
"14","The Evergreens Cemetery","Brooklyn",40.6843873156279,-73.9012739959107
"15","Cypress Hills","Brooklyn",40.6825347477901,-73.882060451899
"16","East New York (North)","Brooklyn",40.6724847883007,-73.8894838645919
"17","East New York-New Lots","Brooklyn",40.6597276488926,-73.8880459326897
"18","Spring Creek-Starrett City","Brooklyn",40.6510067713044,-73.876392080607
"19","East New York-City Line","Brooklyn",40.6705400731211,-73.8660977871788
"20","Highland Park-Cypress Hills Cemeteries (South)","Brooklyn",40.6894949425744,-73.8777025861766
"21","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","Brooklyn",40.6781219329483,-74.0000654778157
"22","Park Slope","Brooklyn",40.6718311478842,-73.9797597742353
"23","Windsor Terrace-South Slope","Brooklyn",40.6560443207945,-73.9800245106635
"24","Sunset Park (West)","Brooklyn",40.6534704184105,-74.0101154917242
"25","Sunset Park (Central)","Brooklyn",40.6423895806221,-74.0078801704953
"26","Green-Wood Cemetery","Brooklyn",40.65213723303,-73.9902369279482
"27","Prospect Heights","Brooklyn",40.6776044785716,-73.9675721267506
"28","Crown Heights (North)","Brooklyn",40.6738643163592,-73.9418960347673
"29","Lincoln Terrace Park","Brooklyn",40.6668609734674,-73.9268158220258
"30","Crown Heights (South)","Brooklyn",40.6667463150022,-73.9460096727354
"31","Prospect Lefferts Gardens-Wingate","Brooklyn",40.6597573321609,-73.9479613983592
"32","Bay Ridge","Brooklyn",40.6266710335789,-74.0299274281346
"33","Dyker Heights","Brooklyn",40.6239630267462,-74.0108451349025
"34","Fort Hamilton","Brooklyn",40.6081534310775,-74.0277490865374
"35","Dyker Beach Park","Brooklyn",40.6111517227037,-74.0189332556401
"36","Bensonhurst","Brooklyn",40.6132646633001,-73.9932652437654
"37","Bath Beach","Brooklyn",40.6042601341972,-74.007482389178
"38","Gravesend (West)","Brooklyn",40.5992924201748,-73.9857335418968
"39","Sunset Park (East)-Borough Park (West)","Brooklyn",40.6408268494459,-73.9993878995325
"40","Borough Park","Brooklyn",40.6329355183579,-73.9895450043031
"41","Kensington","Brooklyn",40.641135618203,-73.9760514727244
"42","Mapleton-Midwood (West)","Brooklyn",40.6193183655866,-73.9733181937168
"43","Gravesend (South)","Brooklyn",40.5879783244015,-73.9779598567884
"44","Coney Island-Sea Gate","Brooklyn",40.5769657956353,-73.9879660549386
"45","Brighton Beach","Brooklyn",40.5790755302042,-73.9606938829492
"46","Calvert Vaux Park","Brooklyn",40.5843532727745,-73.9940863708408
"47","Flatbush","Brooklyn",40.6406660884126,-73.956388370061
"48","Flatbush (West)-Ditmas Park-Parkville","Brooklyn",40.636526244973,-73.966189888673
"49","Midwood","Brooklyn",40.6203690262529,-73.9555929187207
"50","Gravesend (East)-Homecrest","Brooklyn",40.5990817706496,-73.965869221362
"51","Madison","Brooklyn",40.6049134623952,-73.948135619547
"52","Sheepshead Bay-Manhattan Beach-Gerritsen Beach","Brooklyn",40.5882982104331,-73.941504485568
"53","Ocean Hill","Brooklyn",40.676637284518,-73.9136475412408
"54","Brownsville","Brooklyn",40.6640469817622,-73.9095224451755
"55","East Flatbush-Erasmus","Brooklyn",40.6485510274498,-73.9501384692722
"56","East Flatbush-Farragut","Brooklyn",40.63914623403,-73.9376369689025
"57","East Flatbush-Rugby","Brooklyn",40.6515465307613,-73.9297522824317
"58","East Flatbush-Remsen Village","Brooklyn",40.6562159217085,-73.9191689654714
"59","Holy Cross Cemetery","Brooklyn",40.6469806413225,-73.9382530612022
"60","Flatlands","Brooklyn",40.6262745608266,-73.9300973230259
"61","Marine Park-Mill Basin-Bergen Beach","Brooklyn",40.6149755403108,-73.9185372657852
"62","Canarsie","Brooklyn",40.6393528756872,-73.9014615555511
"63","Marine Park-Plumb Island","Brooklyn",40.5940466094966,-73.9162439729036
"64","McGuire Fields","Brooklyn",40.6123802125944,-73.8969581634015
"65","Canarsie Park & Pier","Brooklyn",40.6300328592583,-73.8893085138873
"66","Prospect Park","Brooklyn",40.6616014764439,-73.9689207542036
"67","Barren Island-Floyd Bennett Field","Brooklyn",40.5931913450418,-73.8918499010626
"68","Jamaica Bay (West)","Brooklyn",40.6102389407348,-73.8595117662708
"69","Shirley Chisholm State Park","Brooklyn",40.6453251080308,-73.8667413869852
"70","Mott Haven-Port Morris","Bronx",40.8075245883903,-73.9172426168765
"71","Melrose","Bronx",40.8182596150352,-73.9128500445639
"72","Hunts Point","Bronx",40.8108598149718,-73.884976653682
"73","Longwood","Bronx",40.8209678853406,-73.896559355848
"74","North & South Brother Islands","Bronx",40.7995763844918,-73.8983697972992
"75","Morrisania","Bronx",40.8272945220353,-73.9047421514982
"76","Claremont Village-Claremont (East)","Bronx",40.8375764049514,-73.903535636795
"77","Crotona Park East","Bronx",40.8321385970731,-73.8886973522754
"78","Crotona Park","Bronx",40.8385494331891,-73.8949867929946
"79","Concourse-Concourse Village","Bronx",40.8267474409239,-73.92172488702
"80","Highbridge","Bronx",40.8368573350242,-73.9277629047815
"81","Mount Eden-Claremont (West)","Bronx",40.8404797855404,-73.914428258047
"82","Yankee Stadium-Macombs Dam Park","Bronx",40.8299826398818,-73.9263903189237
"83","Claremont Park","Bronx",40.8404309685131,-73.9075041474538
"84","University Heights (South)-Morris Heights","Bronx",40.8518528302641,-73.9161245451486
"85","Mount Hope","Bronx",40.8498649509831,-73.9044158969307
"86","Fordham Heights","Bronx",40.8587331124173,-73.89912820958
"87","West Farms","Bronx",40.8412594963127,-73.8786282058608
"88","Tremont","Bronx",40.8469225669596,-73.8917546701969
"89","Belmont","Bronx",40.8576069046275,-73.8870526559433
"90","University Heights (North)-Fordham","Bronx",40.8645727330387,-73.9047498738412
"91","Bedford Park","Bronx",40.8735627015254,-73.8907906039346
"92","Norwood","Bronx",40.8771406903505,-73.8790190426162
"93","Kingsbridge Heights-Van Cortlandt Village","Bronx",40.8776798847113,-73.899082444416
"94","Kingsbridge-Marble Hill","Bronx",40.8808396645259,-73.905730051521
"95","Riverdale-Spuyten Duyvil","Bronx",40.8957161288225,-73.9087862107653
"96","Soundview-Bruckner-Bronx River","Bronx",40.8296146841857,-73.8732180923705
"97","Soundview-Clason Point","Bronx",40.8161059497451,-73.8591033218479
"98","Castle Hill-Unionport","Bronx",40.8245317522871,-73.8486911814741
"99","Parkchester","Bronx",40.8377464210291,-73.8579888560159
"100","Soundview Park","Bronx",40.8164383034181,-73.8712502495145
"101","Westchester Square","Bronx",40.8376858206167,-73.8459395515987
"102","Throgs Neck-Schuylerville","Bronx",40.8255267804587,-73.8206015860668
"103","Pelham Bay-Country Club-City Island","Bronx",40.8455920651512,-73.8115381635582
"104","Co-op City","Bronx",40.8723122180107,-73.8262727713433
"105","Hart Island","Bronx",40.8538340315242,-73.7702321624131
"106","Ferry Point Park-St. Raymond Cemetery","Bronx",40.8166226242258,-73.8325838448782
