id,opened
1,1
2,1
3,0
4,1
5,1
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,0
15,0
16,1
17,0
18,1
19,0
20,1
21,1
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,1
32,0
33,0
34,1
35,1
36,1
37,0
38,0
39,0
40,1
41,0
42,1
43,0
44,0
45,1
46,0
47,0
48,1
49,0
50,1
51,1
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,1
64,0
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,0
73,0
74,1
75,1
76,1
77,0
78,0
79,1
80,1
81,1
82,1
83,1
84,0
85,1
86,0
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,0
97,0
98,0
99,1
100,1
101,1
102,1
103,1
104,1
105,0
106,1
107,0
108,1
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,0
117,1
118,1
119,1
120,0
121,1
122,1
123,0
124,0
125,1
126,1
127,1
128,1
129,1
130,0
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,0
142,1
143,0
144,0
145,0
146,0
147,0
148,1
149,1
150,1
151,1
152,0
153,0
154,1
155,1
156,1
157,1
158,1
159,0
160,1
161,0
162,1
163,1
164,0
165,1
166,0
167,1
168,1
169,1
170,0
171,0
172,0
173,1
174,1
175,1
176,1
177,0
178,0
179,0
180,1
181,1
182,0
183,0
184,0
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,0
193,0
194,0
195,1
196,0
197,0
198,1
199,1
200,0
201,0
