from_type,from_id,to_type,to_id,flow
restaurant,1,center,35,111117.26906905488
restaurant,2,center,162,71532.89813205427
restaurant,3,center,97,98561.5196718363
restaurant,4,center,149,19103.526731466525
restaurant,5,center,100,94690.396837771
restaurant,6,center,170,63052.0388891557
restaurant,7,center,4,83416.59088684477
restaurant,8,center,138,94882.6726617644
restaurant,9,center,64,80602.9448885179
restaurant,10,center,130,78615.03471356237
restaurant,11,center,4,56012.6597076103
restaurant,12,center,2,48969.18516792098
restaurant,12,center,91,49722.78672481819
restaurant,13,center,69,66012.6727224346
restaurant,14,center,170,52221.1834006315
restaurant,15,center,170,48858.4882540494
restaurant,16,center,91,47238.663272841
restaurant,17,center,4,48371.4858109628
restaurant,18,center,126,55051.6729232
restaurant,19,center,18,39229.44851755514
restaurant,19,center,130,11133.024818392732
restaurant,20,center,170,49300.5277836098
restaurant,21,center,196,76549.3195893056
restaurant,22,center,130,49330.7488317086
restaurant,23,center,170,87164.6452166876
restaurant,24,center,18,40916.8902518594
restaurant,25,center,61,68104.2516211155
restaurant,26,center,184,101115.86805622876
restaurant,27,center,149,59486.8137111993
restaurant,28,center,100,87534.1466132485
restaurant,29,center,149,27078.4712392504
restaurant,30,center,35,60616.4797297452
restaurant,31,center,91,22018.4005844526
restaurant,32,center,100,118905.193611736
restaurant,33,center,138,61264.8098809203
restaurant,34,center,2,87643.0241655931
restaurant,35,center,147,59603.78476809443
restaurant,36,center,184,97836.1632123457
restaurant,37,center,147,56002.3740452995
restaurant,38,center,87,97930.2472433697
restaurant,39,center,138,62217.2635793556
restaurant,40,center,35,74266.9454363477
restaurant,41,center,147,81425.3745996954
restaurant,42,center,4,54417.0041016577
restaurant,43,center,126,100224.245124588
restaurant,44,center,147,68956.6494390445
restaurant,45,center,2,15821.280644571714
restaurant,45,center,18,49722.78672481819
restaurant,46,center,64,73634.75029971148
restaurant,46,center,162,58772.38602474751
restaurant,47,center,91,89638.8164090224
restaurant,48,center,91,83372.0626756428
restaurant,49,center,16,49318.3591881222
restaurant,50,center,147,56749.3514007508
restaurant,51,center,61,72642.3683664499
restaurant,52,center,16,66971.4003190708
restaurant,52,center,138,20740.082394261393
restaurant,53,center,138,82522.9883985278
restaurant,54,center,138,133424.947457151
restaurant,55,center,126,59529.7821721012
restaurant,56,center,61,94207.9062130399
restaurant,57,center,162,68398.7795938089
restaurant,58,center,190,21767.0309109555
restaurant,59,center,97,97308.8383387963
restaurant,60,center,196,64338.7061133171
restaurant,61,center,97,45593.0838764819
restaurant,62,center,100,85886.8564841708
restaurant,63,center,195,74550.3068934476
restaurant,64,center,97,48363.9367735273
restaurant,65,center,2,9145.745635138315
restaurant,65,center,91,49722.78672481819
restaurant,66,center,4,92580.870749649
