from_type,from_id,to_type,to_id,flow
restaurant,1,center,88,22593.5064103228
restaurant,2,center,70,54589.7684148139
restaurant,3,center,2,3674.640069788322
restaurant,3,center,4,53501.11148991948
restaurant,4,center,9,1524.161399755627
restaurant,4,center,60,25144.183933798275
restaurant,5,center,60,74368.0707516485
restaurant,6,center,35,59669.7311336037
restaurant,7,center,62,32390.6337985736
restaurant,8,center,54,52927.7912598502
restaurant,9,center,12,24930.488816349
restaurant,10,center,162,65194.6053702813
restaurant,11,center,144,50665.0512432665
restaurant,12,center,8,59884.8983806882
restaurant,13,center,76,46334.7419544291
restaurant,14,center,117,58261.1698291064
restaurant,15,center,29,44338.5369138426
restaurant,16,center,10,54366.3423752888
restaurant,17,center,134,82956.8453453374
restaurant,18,center,94,67026.7032105566
restaurant,19,center,93,56278.4239516407
restaurant,20,center,165,46802.2208309916
restaurant,21,center,76,31300.3856802248
restaurant,22,center,10,30646.642487158766
restaurant,22,center,11,23168.03181392153
restaurant,23,center,10,58738.9675648404
restaurant,24,center,106,70876.9623235011
restaurant,25,center,88,55697.311185834
restaurant,26,center,70,31888.1511228208
restaurant,27,center,58,72756.1504535713
restaurant,28,center,76,23351.164956747
restaurant,29,center,9,35785.5661053159
restaurant,30,center,76,57370.4403919891
restaurant,31,center,93,43299.4282702077
restaurant,32,center,22,23708.3333857925
restaurant,33,center,55,73331.7049728552
restaurant,34,center,88,64613.0336443751
restaurant,35,center,35,48414.1570918766
restaurant,36,center,106,38303.3338679895
restaurant,37,center,76,55018.750903781
restaurant,38,center,62,77137.0600983233
restaurant,39,center,62,53783.5683012393
restaurant,40,center,105,50487.7787268645
restaurant,41,center,4,78430.5824328711
restaurant,42,center,9,53848.225698468
restaurant,43,center,14,43271.592566361
restaurant,44,center,76,65766.5197729282
restaurant,45,center,53,30202.4154643699
restaurant,46,center,10,45636.0152812515
restaurant,47,center,76,31066.8042810458
restaurant,48,center,13,70743.0448510277
restaurant,49,center,8,15031.6987208515
restaurant,50,center,175,59122.4032477866
restaurant,51,center,118,60632.8387707581
restaurant,52,center,23,79104.5168937678
restaurant,53,center,10,46112.2201627773
restaurant,54,center,41,2992.90821111298
restaurant,55,center,90,76822.3292878443
restaurant,56,center,62,28702.799748575
restaurant,57,center,62,48967.477642642
restaurant,58,center,76,77424.31561115
restaurant,59,center,80,76611.5186530249
restaurant,60,center,76,64391.2312077512
restaurant,61,center,175,62903.2841384463
restaurant,62,center,8,50561.7323297358
restaurant,63,center,134,48924.2619777821
restaurant,64,center,35,27907.1135763576
restaurant,65,center,76,30792.328149914
restaurant,66,center,76,40478.7827268196
restaurant,67,center,201,72314.8315387838
restaurant,68,center,80,39500.9188138841
restaurant,69,center,4,27814.0855217756
restaurant,70,center,4,33848.8550170371
restaurant,71,center,76,37296.3182360089
restaurant,72,center,76,17130.2299483214
restaurant,73,center,41,63689.1087752402
restaurant,74,center,185,63994.2883464987
restaurant,75,center,62,53334.2162790592
restaurant,76,center,159,36601.4072748323
restaurant,77,center,76,69696.0118395498
restaurant,78,center,106,25326.1312917943
restaurant,79,center,201,61651.6583262342
restaurant,80,center,162,39640.5924666278
restaurant,81,center,10,34879.7836135341
restaurant,82,center,132,63445.4088239358
restaurant,83,center,106,44561.0231209305
restaurant,84,center,2,41685.2827831826
