from_type,from_id,to_type,to_id,flow
restaurant,1,center,26,22593.5064103228
restaurant,2,center,100,54589.7684148139
restaurant,3,center,89,57175.7515597078
restaurant,4,center,2,26668.3453335539
restaurant,5,center,76,74368.0707516485
restaurant,6,center,126,59669.7311336037
restaurant,7,center,157,32390.6337985736
restaurant,8,center,2,52927.7912598502
restaurant,9,center,12,24930.488816349
restaurant,10,center,76,65194.6053702813
restaurant,11,center,85,50665.0512432665
restaurant,12,center,76,59884.8983806882
restaurant,13,center,188,46334.7419544291
restaurant,14,center,117,58261.1698291064
restaurant,15,center,29,44338.5369138426
restaurant,16,center,76,54366.3423752888
restaurant,17,center,2,82956.8453453374
restaurant,18,center,177,67026.7032105566
restaurant,19,center,63,56278.4239516407
restaurant,20,center,190,46802.2208309916
restaurant,21,center,76,31300.3856802248
restaurant,22,center,35,53814.6743010803
restaurant,23,center,55,58738.9675648404
restaurant,24,center,11,70876.9623235011
restaurant,25,center,26,55697.311185834
restaurant,26,center,23,31888.1511228208
restaurant,27,center,2,72756.1504535713
restaurant,28,center,20,23351.164956747
restaurant,29,center,174,35785.5661053159
restaurant,30,center,76,57370.4403919891
restaurant,31,center,132,43299.4282702077
restaurant,32,center,181,23708.3333857925
restaurant,33,center,35,73331.7049728552
restaurant,34,center,29,64613.0336443751
restaurant,35,center,2,48414.1570918766
restaurant,36,center,11,38303.3338679895
restaurant,37,center,4,55018.750903781
restaurant,38,center,2,77137.0600983233
restaurant,39,center,35,53783.5683012393
restaurant,40,center,76,50487.7787268645
restaurant,41,center,89,78430.5824328711
restaurant,42,center,62,53848.225698468
restaurant,43,center,2,43271.592566361
restaurant,44,center,4,65766.5197729282
restaurant,45,center,68,30202.4154643699
restaurant,46,center,134,45636.0152812515
restaurant,47,center,132,31066.8042810458
restaurant,48,center,91,70743.0448510277
restaurant,49,center,55,15031.6987208515
restaurant,50,center,63,59122.4032477866
restaurant,51,center,70,60632.8387707581
restaurant,52,center,129,79104.5168937678
restaurant,53,center,2,46112.2201627773
restaurant,54,center,174,2992.90821111298
restaurant,55,center,2,76822.3292878443
restaurant,56,center,76,28702.799748575
restaurant,57,center,2,46201.92086272537
restaurant,57,center,35,2765.556779916631
restaurant,58,center,76,77424.31561115
restaurant,59,center,2,76611.5186530249
restaurant,60,center,76,64391.2312077512
restaurant,61,center,188,62903.2841384463
restaurant,62,center,188,50561.7323297358
restaurant,63,center,2,48924.2619777821
restaurant,64,center,2,27907.1135763576
restaurant,65,center,4,30792.328149914
restaurant,66,center,76,40478.7827268196
restaurant,67,center,89,72314.8315387838
restaurant,68,center,35,39500.9188138841
restaurant,69,center,79,27814.0855217756
restaurant,70,center,79,33848.8550170371
restaurant,71,center,76,37296.3182360089
restaurant,72,center,76,17130.2299483214
restaurant,73,center,76,63689.1087752402
restaurant,74,center,116,63994.2883464987
restaurant,75,center,76,53334.2162790592
restaurant,76,center,156,36601.4072748323
restaurant,77,center,76,69696.0118395498
restaurant,78,center,2,25326.1312917943
restaurant,79,center,2,61651.6583262342
restaurant,80,center,68,39640.5924666278
restaurant,81,center,35,34879.7836135341
restaurant,82,center,132,63445.4088239358
restaurant,83,center,101,44561.0231209305
restaurant,84,center,76,41685.2827831826
restaurant,85,center,12,62101.5432332625
restaurant,86,center,132,30615.6454270934
restaurant,87,center,2,27009.9276640468
restaurant,88,center,2,37968.300701746
restaurant,89,center,2,23644.9980901765
restaurant,90,center,63,58516.925049204
restaurant,91,center,132,33144.9905624852
restaurant,92,center,76,86156.0717180345
restaurant,93,center,85,89938.7457717847
restaurant,94,center,76,29434.8707316856
restaurant,95,center,11,8697.95449713912
restaurant,96,center,54,50953.0068201237
restaurant,97,center,156,86087.859348022
restaurant,98,center,156,67716.2852799249
restaurant,99,center,76,39174.9290281564
restaurant,100,center,2,52473.9115206959
restaurant,101,center,113,81252.6351384985
restaurant,102,center,138,32933.5919771015
restaurant,103,center,2,60786.3088800518
restaurant,104,center,140,81571.6009105435
restaurant,105,center,176,57010.786359619
restaurant,106,center,11,67821.5833928701
restaurant,107,center,11,75266.3129441673
restaurant,108,center,23,45718.5255971563
restaurant,109,center,113,88666.1403220816
restaurant,110,center,118,49504.6200560261
restaurant,111,center,100,34082.6083254827
restaurant,112,center,16,38342.0554639653
restaurant,113,center,154,71454.5410584973
restaurant,114,center,55,64864.9387602854
restaurant,115,center,2,77890.4019478549
restaurant,116,center,76,53489.082700063
restaurant,117,center,2,28815.4842847032
restaurant,118,center,1,59945.4813432129
restaurant,118,center,185,192.4568389056003
restaurant,119,center,76,75655.5033281187
restaurant,120,center,41,44863.6314481698
restaurant,121,center,76,19529.8127855684
restaurant,122,center,76,31072.2708611653
restaurant,123,center,141,27850.8694240294
restaurant,124,center,64,87055.7310507061
restaurant,125,center,76,67160.4544710542
restaurant,126,center,2,83161.330615183
restaurant,127,center,2,95129.2914132674
restaurant,128,center,2,38979.157397613
restaurant,129,center,135,61402.8685979435
restaurant,130,center,12,29252.5704881996
restaurant,131,center,2,63029.62234618
restaurant,132,center,104,45908.5024837814
restaurant,133,center,89,60995.5500044429
restaurant,134,center,11,56191.5122018204
restaurant,135,center,20,56133.10411412
restaurant,136,center,134,32264.7777467275
restaurant,137,center,35,29041.9977814686
restaurant,138,center,35,55109.7956654199
restaurant,139,center,76,4270.37409107089
restaurant,140,center,76,25155.9664084692
restaurant,141,center,77,50525.3649573342
restaurant,142,center,161,18799.8717594823
restaurant,143,center,2,60495.987444705
restaurant,144,center,174,29760.192110538
restaurant,145,center,170,59526.9144475662
restaurant,146,center,2,27184.6694578162
restaurant,147,center,2,66199.9153393147
restaurant,148,center,76,48944.4833682886
restaurant,149,center,2,44876.4716400063
restaurant,150,center,2,65122.7131767159
restaurant,151,center,148,40237.6766873939
restaurant,152,center,2,69175.1913095544
restaurant,153,center,2,2475.12980350108
restaurant,154,center,2,69698.5369384557
restaurant,155,center,76,74619.705076976
restaurant,156,center,11,17860.050491437
restaurant,157,center,11,74456.3110791079
restaurant,158,center,2,34286.9411955429
restaurant,159,center,134,56203.5082375392
restaurant,160,center,35,50928.2103354721
restaurant,161,center,2,62178.1657410326
restaurant,162,center,76,58578.3801904948
restaurant,163,center,76,65874.937689836
restaurant,164,center,76,26535.4212202437
restaurant,165,center,76,91673.112614581
restaurant,166,center,76,21847.2698853674
restaurant,167,center,85,39505.0764607818
restaurant,168,center,35,17610.739945728
restaurant,169,center,4,65645.4465589695
restaurant,170,center,75,72932.9514540148
restaurant,171,center,2,21394.7239164192
restaurant,172,center,76,62620.8321649756
restaurant,173,center,11,53672.8383782091
restaurant,174,center,162,44322.4917703901
restaurant,175,center,4,62381.7892841396
restaurant,176,center,134,22720.724589988065
restaurant,176,center,176,20598.450235577635
restaurant,177,center,11,35696.3196963371
restaurant,178,center,35,42369.1291551015
restaurant,179,center,55,34641.4634919459
restaurant,180,center,2,28590.1256069158
restaurant,181,center,2,21062.5481745622
restaurant,182,center,76,91330.2823248815
restaurant,183,center,69,70256.9641285529
restaurant,184,center,77,55554.6685491312
restaurant,185,center,80,58229.102797766
restaurant,186,center,11,84054.0167055395
restaurant,187,center,156,50568.1939314711
restaurant,188,center,176,68058.9257807364
restaurant,189,center,35,41380.93468748
restaurant,190,center,132,18203.0380541676
restaurant,191,center,2,36616.9666626497
restaurant,192,center,20,24492.5192483934
restaurant,193,center,170,65735.9742848993
restaurant,194,center,113,65764.5517440565
restaurant,195,center,55,68846.7163059386
restaurant,196,center,2,29729.4817319273
restaurant,197,center,38,47950.8865714977
restaurant,198,center,131,61458.577166748
restaurant,199,center,63,46203.9464116397
restaurant,200,center,157,57233.1991786746
restaurant,201,center,2,68679.3932902639
restaurant,202,center,2,50598.5889038476
restaurant,203,center,174,51797.5516297937
restaurant,204,center,4,44760.3984229143
restaurant,205,center,76,57933.7795430416
restaurant,206,center,185,46353.0617002434
restaurant,207,center,76,91726.2008349089
restaurant,208,center,181,62457.2364672367
restaurant,209,center,47,70512.9988921799
restaurant,210,center,94,50595.3563161828
restaurant,211,center,64,55373.4157736212
restaurant,212,center,132,54235.4245384475
restaurant,213,center,103,29044.0291608385
restaurant,214,center,2,66258.5276112483
restaurant,215,center,185,16831.8963376925
restaurant,216,center,140,49358.9945554828
restaurant,217,center,2,63268.8385460897
restaurant,218,center,2,11216.6562371629
restaurant,219,center,76,80267.6787838782
restaurant,220,center,77,58975.1348183172
restaurant,221,center,95,56507.3417739887
restaurant,222,center,2,34207.4071912413
restaurant,223,center,2,54890.4777273889
restaurant,224,center,14,61947.5919588054
restaurant,225,center,11,59762.4098484355
restaurant,226,center,134,54332.941972912
restaurant,227,center,76,16635.6128947325
restaurant,228,center,188,77662.3830922637
restaurant,229,center,11,64579.7255156499
restaurant,230,center,11,54014.2894377263
restaurant,231,center,76,45186.7528058078
restaurant,232,center,8,66234.5904502698
restaurant,233,center,2,46960.3495623452
restaurant,234,center,76,36797.7663712375
restaurant,235,center,157,82545.3375873047
restaurant,236,center,4,62210.8815996959
restaurant,237,center,2,45822.9528068045
restaurant,238,center,11,2116.80195987349
restaurant,238,center,197,36349.21810011031
restaurant,239,center,94,41981.8614823556
restaurant,240,center,8,53891.114424689
restaurant,241,center,2,41244.5627401828
restaurant,242,center,76,46743.5325323939
restaurant,243,center,12,31681.3884556926
restaurant,244,center,55,60735.5709773588
restaurant,245,center,55,67586.3239282426
restaurant,246,center,76,43171.416987978
restaurant,247,center,76,27177.9982591335
restaurant,248,center,8,8439.541333880486
restaurant,248,center,156,14217.410565749713
restaurant,249,center,2,47587.8508395678
restaurant,250,center,76,56302.9342932107
restaurant,251,center,76,39560.9142815215
restaurant,252,center,41,33488.8851528446
restaurant,253,center,2,63248.2499469968
restaurant,254,center,12,36398.77119870699
restaurant,254,center,150,37083.22985
restaurant,255,center,113,55259.3649190374
restaurant,256,center,85,31486.0987958814
restaurant,257,center,76,36665.1052274235
restaurant,258,center,132,37054.2779220233
restaurant,259,center,11,54807.1631556824
restaurant,260,center,76,28481.44760416
restaurant,261,center,76,81181.2478876208
restaurant,262,center,35,28312.6100970709
restaurant,263,center,68,63035.737013852
restaurant,264,center,34,40833.6475527133
restaurant,265,center,190,81889.8205102094
restaurant,266,center,61,37093.1137894686
restaurant,267,center,2,690.880221353575
restaurant,268,center,35,30879.0633566603
restaurant,269,center,76,38159.2790574129
restaurant,270,center,95,30439.198507304
restaurant,271,center,57,22403.9914883475
restaurant,272,center,70,27089.1507948006
restaurant,273,center,29,58792.1614632416
restaurant,274,center,62,78902.6125993908
restaurant,275,center,154,17990.6596071344
restaurant,276,center,2,67812.5064361061
restaurant,277,center,76,75235.9374479677
restaurant,278,center,35,52616.0653340179
restaurant,279,center,11,50931.4951435831
restaurant,280,center,76,44616.8675081982
restaurant,281,center,20,15145.911077772878
restaurant,281,center,76,34040.16559205632
restaurant,282,center,55,78674.2334967601
restaurant,283,center,8,22020.3139416669
restaurant,284,center,2,75094.9613870863
restaurant,285,center,11,34925.8114491218
restaurant,286,center,12,47975.2054349372
restaurant,287,center,64,29161.7668724622
restaurant,288,center,63,35541.3248399936
restaurant,289,center,132,19945.5587461552
restaurant,290,center,89,35814.472540984
restaurant,291,center,61,47445.7974305207
restaurant,292,center,2,73989.0834505261
restaurant,293,center,11,23563.8674673764
restaurant,294,center,76,80041.9473084882
restaurant,295,center,155,56449.0163059352
restaurant,296,center,20,86453.614889854
restaurant,297,center,35,55846.156385931
restaurant,298,center,2,25179.9154559581
restaurant,299,center,104,44005.4425852788
restaurant,300,center,2,54503.2965827715
restaurant,301,center,2,49204.0988250031
restaurant,302,center,2,72037.8571992803
restaurant,303,center,70,78688.1854208026
restaurant,304,center,26,39252.1368323882
restaurant,305,center,64,38190.7813608523
restaurant,306,center,76,57572.6154087894
restaurant,307,center,11,49945.5809404286
restaurant,308,center,4,59638.7930943367
restaurant,309,center,64,34110.8856234186
restaurant,310,center,190,52568.3549173519
restaurant,311,center,11,62034.6987038761
restaurant,312,center,190,13932.5055148074
restaurant,313,center,174,44527.0586415796
restaurant,314,center,35,30196.8889072906
restaurant,315,center,35,71655.2792067479
restaurant,316,center,132,32879.8153903538
restaurant,317,center,31,15435.465097939705
restaurant,317,center,169,56409.5558567191
restaurant,318,center,132,46268.5176020992
restaurant,319,center,12,73912.6720360941
center,1,neighborhood,434,59945.4813432129
center,2,neighborhood,182,2.330487661049865e6
center,2,neighborhood,521,723674.1931994108
center,4,neighborhood,521,446214.9077866792
center,8,neighborhood,221,150585.56015050618
center,11,neighborhood,402,681005.1237537768
center,11,neighborhood,404,358573.915446095
center,12,neighborhood,581,306252.639663242
center,14,neighborhood,523,61947.5919588054
center,16,neighborhood,568,38342.0554639653
center,20,neighborhood,28,205576.3142868873
center,23,neighborhood,526,77606.6767199771
center,26,neighborhood,236,117542.954428545
center,29,neighborhood,430,167743.73202145932
center,31,neighborhood,223,15435.465097939705
center,34,neighborhood,4,40833.6475527133
center,35,neighborhood,326,37935.95135495509
center,35,neighborhood,523,726087.1262859432
center,38,neighborhood,1,47950.8865714977
center,41,neighborhood,237,61218.2338442273
center,41,neighborhood,434,17134.2827567871
center,47,neighborhood,510,70512.9988921799
center,54,neighborhood,529,50953.0068201237
center,55,neighborhood,401,225650.6732
center,55,neighborhood,402,223469.24004622325
center,57,neighborhood,221,22403.9914883475
center,61,neighborhood,269,84538.9112199893
center,62,neighborhood,523,132750.8382978588
center,63,neighborhood,510,255663.02350026462
center,64,neighborhood,527,243892.58068106044
center,68,neighborhood,521,132878.7449448497
center,69,neighborhood,493,60113.326522188174
center,69,neighborhood,523,10143.637606364733
center,70,neighborhood,560,166410.1749863613
center,75,neighborhood,474,72932.9514540148
center,76,neighborhood,324,2.8774237801216347e6
center,77,neighborhood,493,165055.1683247826
center,79,neighborhood,28,61662.940538812705
center,80,neighborhood,532,58229.102797766
center,85,neighborhood,147,50156.561731196736
center,85,neighborhood,516,161438.41054051768
center,89,neighborhood,158,304731.1880767896
center,91,neighborhood,523,70743.0448510277
center,94,neighborhood,533,92577.21779853839
center,95,neighborhood,126,86946.5402812927
center,100,neighborhood,549,88672.3767402966
center,101,neighborhood,156,44561.0231209305
center,103,neighborhood,324,29044.0291608385
center,104,neighborhood,521,89913.9450690602
center,113,neighborhood,313,290942.692123674
center,116,neighborhood,581,63994.2883464987
center,117,neighborhood,430,58261.1698291064
center,118,neighborhood,560,49504.6200560261
center,126,neighborhood,114,16549.040149168
center,126,neighborhood,496,34734.24015
center,126,neighborhood,522,8386.450834435705
center,129,neighborhood,1,54191.73769144229
center,129,neighborhood,449,24912.779202325502
center,131,neighborhood,568,61458.577166748
center,132,neighborhood,158,300720.2395025904
center,132,neighborhood,510,109438.6701154241
center,134,neighborhood,325,129753.359422854
center,134,neighborhood,522,81404.6084055643
center,135,neighborhood,381,61402.8685979435
center,138,neighborhood,327,32933.5919771015
center,140,neighborhood,214,130930.5954660263
center,141,neighborhood,135,27850.8694240294
center,148,neighborhood,221,40237.6766873939
center,150,neighborhood,585,37083.22985
center,154,neighborhood,543,89445.2006656317
center,155,neighborhood,449,56449.0163059352
center,156,neighborhood,417,255191.1564
center,157,neighborhood,50,105498.50887842
center,157,neighborhood,326,66670.66168613291
center,161,neighborhood,516,18799.8717594823
center,162,neighborhood,543,44322.4917703901
center,169,neighborhood,222,56409.5558567191
center,170,neighborhood,581,125262.88873246551
center,174,neighborhood,163,105866.86783078
center,174,neighborhood,400,58996.40886756018
center,176,neighborhood,182,145668.16237593303
center,177,neighborhood,327,67026.7032105566
center,181,neighborhood,493,86165.5698530292
center,185,neighborhood,381,63377.414876841496
center,188,neighborhood,313,223077.06467274352
center,188,neighborhood,507,8538.37235
center,188,neighborhood,510,5846.704492131394
center,190,neighborhood,479,195192.9017733603
center,197,neighborhood,203,13128.3120376705
center,197,neighborhood,400,23220.90606243981
