from_type,from_id,to_type,to_id,flow
restaurant,1,center,158,22593.5064103228
restaurant,2,center,199,54589.7684148139
restaurant,3,center,124,57175.7515597078
restaurant,4,center,2,26668.3453335539
restaurant,5,center,47,74368.0707516485
restaurant,6,center,86,59669.7311336037
restaurant,7,center,172,32390.6337985736
restaurant,8,center,164,52927.7912598502
restaurant,9,center,61,24930.488816349
restaurant,10,center,139,65194.6053702813
restaurant,11,center,142,50665.0512432665
restaurant,12,center,2,59884.8983806882
restaurant,13,center,2,46334.7419544291
restaurant,14,center,184,58261.1698291064
restaurant,15,center,175,44338.5369138426
restaurant,16,center,2,54366.3423752888
restaurant,17,center,83,82956.8453453374
restaurant,18,center,160,67026.7032105566
restaurant,19,center,62,56278.4239516407
restaurant,20,center,2,46802.2208309916
restaurant,21,center,116,31300.3856802248
restaurant,22,center,194,53814.6743010803
restaurant,23,center,2,58738.9675648404
restaurant,24,center,194,70876.9623235011
restaurant,25,center,199,55697.311185834
restaurant,26,center,2,31888.1511228208
restaurant,27,center,156,72756.1504535713
restaurant,28,center,2,23351.164956747
restaurant,29,center,201,35785.5661053159
restaurant,30,center,155,57370.4403919891
restaurant,31,center,196,43299.4282702077
restaurant,32,center,192,23708.3333857925
restaurant,33,center,113,73331.7049728552
restaurant,34,center,148,64613.0336443751
restaurant,35,center,175,48414.1570918766
restaurant,36,center,2,38303.3338679895
restaurant,37,center,17,55018.750903781
restaurant,38,center,166,77137.0600983233
restaurant,39,center,109,53783.5683012393
restaurant,40,center,48,50487.7787268645
restaurant,41,center,14,78430.5824328711
restaurant,42,center,152,53848.225698468
restaurant,43,center,138,43271.592566361
restaurant,44,center,13,65766.5197729282
restaurant,45,center,145,30202.4154643699
restaurant,46,center,199,45636.0152812515
restaurant,47,center,122,31066.8042810458
restaurant,48,center,52,70743.0448510277
restaurant,49,center,87,15031.6987208515
restaurant,50,center,187,59122.4032477866
restaurant,51,center,40,60632.8387707581
restaurant,52,center,135,27401.430210370345
restaurant,52,center,193,51703.08668339745
restaurant,53,center,58,46112.2201627773
restaurant,54,center,7,2992.90821111298
restaurant,55,center,56,76822.3292878443
restaurant,56,center,108,28702.799748575
restaurant,57,center,136,48967.477642642
restaurant,58,center,123,77424.31561115
restaurant,59,center,110,76611.5186530249
restaurant,60,center,41,64391.2312077512
restaurant,61,center,13,62903.2841384463
restaurant,62,center,78,50561.7323297358
restaurant,63,center,174,48924.2619777821
restaurant,64,center,55,27907.1135763576
restaurant,65,center,124,30792.328149914
restaurant,66,center,92,40478.7827268196
restaurant,67,center,157,72314.8315387838
restaurant,68,center,129,39500.9188138841
restaurant,69,center,147,27814.0855217756
restaurant,70,center,134,33848.8550170371
restaurant,71,center,172,37296.3182360089
restaurant,72,center,64,17130.2299483214
restaurant,73,center,127,63689.1087752402
restaurant,74,center,38,63994.2883464987
restaurant,75,center,189,53334.2162790592
restaurant,76,center,134,36601.4072748323
restaurant,77,center,145,69696.0118395498
restaurant,78,center,144,25326.1312917943
restaurant,79,center,19,61651.6583262342
restaurant,80,center,199,39640.5924666278
restaurant,81,center,126,34879.7836135341
restaurant,82,center,68,63445.4088239358
restaurant,83,center,35,44561.0231209305
restaurant,84,center,67,41685.2827831826
restaurant,85,center,87,62101.5432332625
restaurant,86,center,80,30615.6454270934
restaurant,87,center,139,27009.9276640468
restaurant,88,center,131,37968.300701746
restaurant,89,center,85,23644.9980901765
restaurant,90,center,119,58516.925049204
restaurant,91,center,21,33144.9905624852
restaurant,92,center,171,86156.0717180345
