id,name,latitude,longitude,demand_2023,demand_2024,demand_2025
1,Greenpoint,40.7294994964572,-73.9495163341347,0.0,0.0,102142.62426294
2,Williamsburg,40.7149141264938,-73.9586210725027,0.0,0.0,333492.64867191
3,South Williamsburg,40.7032420441115,-73.9566587310061,0.0,0.0,0.0
4,East Williamsburg,40.7132993867329,-73.9364879093139,0.0,0.0,113652.81465869
5,Brooklyn Heights,40.6954653662343,-73.9948301653051,0.0,0.0,0.0
6,Downtown Brooklyn-DUMBO-Boerum Hill,40.6948994402712,-73.9858303929075,82217.31493,13128.3120376705,506273.12917545
7,Fort Greene,40.6911691737103,-73.9743613956643,225650.6732,0.0,0.0
8,Clinton Hill,40.6889983854651,-73.964462224414,904474.3638,0.0,113911.46111921
9,Bedford-Stuyvesant (West),40.688956478273,-73.9510016798219,0.0,0.0,0.0
10,Bedford-Stuyvesant (East),40.6866210828866,-73.9317917854828,1.17085996e6,2.4661021283639e6,0.0
11,Bushwick (West),40.7009960653414,-73.9252708495532,0.0,0.0,0.0
12,Bushwick (East),40.691244727072,-73.9129656513987,0.0,373365.51476811,0.0
13,Cypress Hills,40.6825347477901,-73.882060451899,816321.473,1.16648443704641e6,0.0
14,East New York (North),40.6724847883007,-73.8894838645919,567429.1908,1.52362321950544e6,0.0
15,East New York-New Lots,40.6597276488926,-73.8880459326897,0.0,402377.442568332,0.0
16,Spring Creek-Starrett City,40.6510067713044,-73.876392080607,0.0,0.0,0.0
17,East New York-City Line,40.6705400731211,-73.8660977871788,0.0,878835.429455159,0.0
18,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,40.6781219329483,-74.0000654778157,0.0,0.0,0.0
19,Park Slope,40.6718311478842,-73.9797597742353,0.0,0.0,0.0
20,Windsor Terrace-South Slope,40.6560443207945,-73.9800245106635,0.0,0.0,23547.3246267601
21,Sunset Park (West),40.6534704184105,-74.0101154917242,0.0,0.0,0.0
22,Sunset Park (Central),40.6423895806221,-74.0078801704953,0.0,0.0,0.0
23,Prospect Heights,40.6776044785716,-73.9675721267506,255191.1564,0.0,0.0
24,Crown Heights (North),40.6738643163592,-73.9418960347673,0.0,404200.906121022,0.0
25,Crown Heights (South),40.6667463150022,-73.9460096727354,0.0,56409.5558567191,0.0
26,Prospect Lefferts Gardens-Wingate,40.6597573321609,-73.9479613983592,0.0,560298.344602313,0.0
27,Bay Ridge,40.6266710335789,-74.0299274281346,0.0,0.0,0.0
28,Dyker Heights,40.6239630267462,-74.0108451349025,0.0,0.0,267239.2548257
29,Bensonhurst,40.6132646633001,-73.9932652437654,0.0,0.0,0.0
30,Bath Beach,40.6042601341972,-74.007482389178,0.0,0.0,0.0
31,Gravesend (West),40.5992924201748,-73.9857335418968,0.0,0.0,0.0
32,Sunset Park (East)-Borough Park (West),40.6408268494459,-73.9993878995325,0.0,0.0,0.0
33,Borough Park,40.6329355183579,-73.9895450043031,0.0,0.0,1.18393394646053e6
34,Kensington,40.641135618203,-73.9760514727244,0.0,0.0,0.0
35,Mapleton-Midwood (West),40.6193183655866,-73.9733181937168,0.0,0.0,0.0
36,Gravesend (South),40.5879783244015,-73.9779598567884,412136.3796,474243.002695216,0.0
37,Coney Island-Sea Gate,40.5769657956353,-73.9879660549386,0.0,0.0,0.0
38,Brighton Beach,40.5790755302042,-73.9606938829492,0.0,0.0,0.0
39,Flatbush,40.6406660884126,-73.956388370061,0.0,424811.029993984,0.0
40,Flatbush (West)-Ditmas Park-Parkville,40.636526244973,-73.966189888673,77079.7641,509307.117265488,40369.7071064101
41,Midwood,40.6203690262529,-73.9555929187207,0.0,0.0,0.0
42,Gravesend (East)-Homecrest,40.5990817706496,-73.965869221362,0.0,0.0,0.0
43,Madison,40.6049134623952,-73.948135619547,0.0,0.0,0.0
44,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,40.5882982104331,-73.941504485568,0.0,0.0,0.0
45,Ocean Hill,40.676637284518,-73.9136475412408,1.889557933e6,2.26320479687492e6,0.0
46,Brownsville,40.6640469817622,-73.9095224451755,0.0,0.0,0.0
47,East Flatbush-Erasmus,40.6485510274498,-73.9501384692722,156023.3795,737793.869854013,0.0
48,East Flatbush-Farragut,40.63914623403,-73.9376369689025,810537.5212,1.04713998534026e6,0.0
49,East Flatbush-Rugby,40.6515465307613,-73.9297522824317,575068.8268,1.3777621916176e6,0.0
50,East Flatbush-Remsen Village,40.6562159217085,-73.9191689654714,319917.5862,1.15737126019768e6,105498.50887842
51,Flatlands,40.6262745608266,-73.9300973230259,2.014610081e6,3.18245437147252e6,0.0
52,Marine Park-Mill Basin-Bergen Beach,40.6149755403108,-73.9185372657852,0.0,0.0,0.0
53,Canarsie,40.6393528756872,-73.9014615555511,2.750146046e6,4.27814874096381e6,0.0
54,Mott Haven-Port Morris,40.8075245883903,-73.9172426168765,0.0,0.0,0.0
55,Melrose,40.8182596150352,-73.9128500445639,1.540329219e6,1.57633238684432e6,0.0
56,Hunts Point,40.8108598149718,-73.884976653682,882935.4792,690257.604337158,979114.69227613
57,Longwood,40.8209678853406,-73.896559355848,1.185763548e6,1.46609475301842e6,0.0
58,Morrisania,40.8272945220353,-73.9047421514982,1.737491446e6,2.03696496911641e6,0.0
59,Claremont Village-Claremont (East),40.8375764049514,-73.903535636795,0.0,0.0,23285.418190612
60,Crotona Park East,40.8321385970731,-73.8886973522754,0.0,0.0,0.0
61,Concourse-Concourse Village,40.8267474409239,-73.92172488702,0.0,0.0,0.0
62,Highbridge,40.8368573350242,-73.9277629047815,0.0,0.0,0.0
63,Mount Eden-Claremont (West),40.8404797855404,-73.914428258047,0.0,0.0,0.0
64,University Heights (South)-Morris Heights,40.8518528302641,-73.9161245451486,0.0,0.0,0.0
65,Mount Hope,40.8498649509831,-73.9044158969307,0.0,0.0,0.0
66,Fordham Heights,40.8587331124173,-73.89912820958,0.0,0.0,0.0
67,West Farms,40.8412594963127,-73.8786282058608,0.0,0.0,0.0
68,Tremont,40.8469225669596,-73.8917546701969,0.0,0.0,0.0
69,Belmont,40.8576069046275,-73.8870526559433,0.0,0.0,2.23139417576234e6
70,University Heights (North)-Fordham,40.8645727330387,-73.9047498738412,0.0,0.0,0.0
71,Bedford Park,40.8735627015254,-73.8907906039346,0.0,0.0,0.0
72,Norwood,40.8771406903505,-73.8790190426162,0.0,130707.951518669,0.0
73,Kingsbridge Heights-Van Cortlandt Village,40.8776798847113,-73.899082444416,0.0,0.0,0.0
74,Kingsbridge-Marble Hill,40.8808396645259,-73.905730051521,0.0,0.0,0.0
75,Riverdale-Spuyten Duyvil,40.8957161288225,-73.9087862107653,0.0,0.0,0.0
76,Soundview-Bruckner-Bronx River,40.8296146841857,-73.8732180923705,0.0,0.0,0.0
77,Soundview-Clason Point,40.8161059497451,-73.8591033218479,0.0,0.0,0.0
78,Castle Hill-Unionport,40.8245317522871,-73.8486911814741,0.0,0.0,0.0
79,Parkchester,40.8377464210291,-73.8579888560159,0.0,0.0,0.0
80,Westchester Square,40.8376858206167,-73.8459395515987,720982.8287,88214.4147788802,238489.9939784
81,Throgs Neck-Schuylerville,40.8255267804587,-73.8206015860668,0.0,0.0,0.0
82,Pelham Bay-Country Club-City Island,40.8455920651512,-73.8115381635582,0.0,0.0,0.0
83,Co-op City,40.8723122180107,-73.8262727713433,0.0,0.0,0.0
84,Pelham Parkway-Van Nest,40.8478969363134,-73.8649669980511,0.0,0.0,0.0
85,Morris Park,40.8517924766075,-73.8516873460979,196019.0406,0.0,0.0
86,Pelham Gardens,40.864246612611,-73.8466921282452,0.0,0.0,0.0
87,Allerton,40.8640144652008,-73.8642037714206,0.0,0.0,0.0
88,Williamsbridge-Olinville,40.8810163001502,-73.8607245005124,0.0,0.0,151097.67421373
89,Eastchester-Edenwald-Baychester,40.8815414695664,-73.8365698308339,0.0,0.0,0.0
90,Wakefield-Woodlawn,40.8979732117286,-73.8539663924204,0.0,0.0,107421.202173893
91,Financial District-Battery Park City,40.7080799624981,-74.0102239715986,0.0,0.0,0.0
92,Tribeca-Civic Center,40.7173062155851,-74.0072329649701,0.0,0.0,0.0
93,SoHo-Little Italy-Hudson Square,40.7235357410824,-74.0017186405533,0.0,0.0,89959.744097822
94,Greenwich Village,40.730680703297,-73.9956844541814,0.0,0.0,0.0
95,West Village,40.7348094757509,-74.0058927329764,0.0,0.0,0.0
96,Chinatown-Two Bridges,40.7128584060622,-73.9936634036461,0.0,0.0,0.0
97,Lower East Side,40.716956216473,-73.9838370361887,0.0,0.0,0.0
98,East Village,40.7259600822759,-73.9820906973837,0.0,0.0,0.0
99,Chelsea-Hudson Yards,40.7493826565518,-74.001149229864,311334.0647,0.0,0.0
100,Hell's Kitchen,40.7641687886625,-73.9923999200423,0.0,0.0,0.0
101,Midtown South-Flatiron-Union Square,40.7440415978371,-73.9897515468706,0.0,0.0,704873.87763811
102,Midtown-Times Square,40.7578010704439,-73.9816095103917,34734.24015,0.0,0.0
103,Stuyvesant Town-Peter Cooper Village,40.7318140393425,-73.9765819192108,0.0,0.0,0.0
104,Gramercy,40.7368244955513,-73.9840536156153,0.0,0.0,0.0
105,Murray Hill-Kips Bay,40.7442493534397,-73.9759478336392,0.0,0.0,0.0
106,East Midtown-Turtle Bay,40.7561333497458,-73.968503490545,0.0,0.0,0.0
107,Upper West Side-Lincoln Square,40.774847564824,-73.9846945357128,0.0,0.0,701490.969869714
108,Upper West Side (Central),40.7877030804216,-73.9759342536763,0.0,0.0,0.0
109,Upper West Side-Manhattan Valley,40.7992466529237,-73.9673061883371,0.0,0.0,0.0
110,Upper East Side-Lenox Hill-Roosevelt Island,40.7649663715652,-73.9550870115797,0.0,0.0,0.0
111,Upper East Side-Carnegie Hill,40.7747292659036,-73.9611750741145,0.0,0.0,258687.52758611
112,Upper East Side-Yorkville,40.7773235101283,-73.9486838218404,0.0,0.0,0.0
113,Morningside Heights,40.8094583940277,-73.9617644673712,8538.37235,0.0,0.0
114,Manhattanville-West Harlem,40.8180226256325,-73.9538222835653,0.0,0.0,16549.040149168
115,Hamilton Heights-Sugar Hill,40.827019873808,-73.9484650878092,0.0,0.0,175960.45099861
116,Harlem (South),40.8043317756025,-73.9513004425372,441461.397,1.23241671568931e6,0.0
117,Harlem (North),40.8189268074189,-73.9409081877251,0.0,0.0,0.0
118,East Harlem (South),40.7900098044104,-73.9457504088247,0.0,0.0,261754.513595689
119,East Harlem (North),40.8016121391061,-73.9374377574189,0.0,0.0,495528.11682838
120,Washington Heights (South),40.8409027541739,-73.9415361105145,0.0,0.0,405519.218561253
121,Washington Heights (North),40.8564728122821,-73.9334518272607,0.0,0.0,0.0
122,Inwood,40.8660465401551,-73.919324450452,180238.2823,624041.386971921,0.0
123,Astoria (North)-Ditmars-Steinway,40.7774084152225,-73.9052566300188,0.0,0.0,0.0
124,Old Astoria-Hallets Point,40.7720880529847,-73.9314191005042,0.0,0.0,2162.59609306999
125,Astoria (Central),40.7642838547686,-73.9230570758123,0.0,0.0,0.0
126,Astoria (East)-Woodside (North),40.7595579592925,-73.9103125639918,0.0,0.0,200353.596394514
127,Queensbridge-Ravenswood-Dutch Kills,40.758318452994,-73.9379323662248,1.392681791e6,3.549293758594e6,0.0
128,Long Island City-Hunters Point,40.7453794812992,-73.9489086847405,89791.05924,129753.359422854,0.0
129,Sunnyside,40.738417594931,-73.9264448674649,1.001672239e6,104606.613041088,2.93190886381e6
130,Woodside,40.7431042071231,-73.9014097871274,0.0,557994.268884639,0.0
131,Jackson Heights,40.7555185751838,-73.886344113209,0.0,0.0,0.0
132,East Elmhurst,40.7640750961607,-73.8722027095729,164804.5072,0.0,0.0
133,North Corona,40.7540526440209,-73.8628518619176,1.101326345e6,0.0,0.0
134,Elmhurst,40.739399345726,-73.879111346499,0.0,0.0,0.0
135,Corona,40.7432407987523,-73.859284160578,2.263537799e6,0.0,363136.00671281
136,Maspeth,40.7230618011358,-73.9051219510859,0.0,0.0,0.0
137,Ridgewood,40.7056729022039,-73.9036885969796,0.0,0.0,6307.32930436102
138,Glendale,40.7035375561113,-73.8757460385316,209126.8543,0.0,0.0
139,Middle Village,40.7192218329555,-73.8781270458189,527148.9697,481957.925624873,0.0
140,Rego Park,40.7262360703676,-73.8634196186154,0.0,0.0,1.50225240556435e6
141,Forest Hills,40.7214540032784,-73.8476773688687,0.0,0.0,2.06322447525637e6
142,College Point,40.7825995003772,-73.8398894296902,0.0,0.0,0.0
143,Whitestone-Beechhurst,40.7883790443315,-73.8108894180176,0.0,0.0,0.0
144,Bay Terrace-Clearview,40.7818611072022,-73.7875789622974,0.0,0.0,0.0
145,Murray Hill-Broadway Flushing,40.7688710278752,-73.8107687640273,0.0,0.0,0.0
146,East Flushing,40.7538032869375,-73.8080655009515,0.0,0.0,0.0
147,Queensboro Hill,40.743101181425,-73.8196834889369,0.0,0.0,272014.49954441
148,Flushing-Willets Point,40.7602128573166,-73.8315835129146,0.0,0.0,0.0
149,Kew Gardens Hills,40.7266445561501,-73.819792502223,309269.1005,311932.665043698,795601.595177419
150,Pomonok-Electchester-Hillcrest,40.727066978847,-73.8034212777519,0.0,0.0,0.0
151,Fresh Meadows-Utopia,40.7349257629273,-73.7862446184855,0.0,0.0,0.0
152,Jamaica Estates-Holliswood,40.7207321665181,-73.7776104802102,0.0,0.0,0.0
153,Jamaica Hills-Briarwood,40.7118866612498,-73.808855473678,0.0,0.0,0.0
154,Kew Gardens,40.7080335533948,-73.8287557909498,0.0,0.0,0.0
155,Richmond Hill,40.6974768086754,-73.8327680498522,2.468787736e6,3.43310109946039e6,720808.945556749
156,South Richmond Hill,40.6913286920682,-73.8248672939829,114405.2212,343057.394237872,2.50267087833059e6
157,Ozone Park (North),40.6845631393059,-73.8493676149795,117007.6035,0.0,0.0
158,Woodhaven,40.6914753347996,-73.8574122984964,121379.7725,196114.85626356,605451.42757938
159,South Ozone Park,40.6761987865897,-73.81951941674,0.0,0.0,0.0
160,Ozone Park,40.6755706167305,-73.8470138202695,0.0,0.0,0.0
161,Howard Beach-Lindenwood,40.6600362305613,-73.8440419752467,0.0,0.0,0.0
162,Auburndale,40.7552556964632,-73.7860044109897,0.0,0.0,1.20888082001737e6
163,Bayside,40.7617609632819,-73.7675965970179,0.0,0.0,105866.86783078
164,Douglaston-Little Neck,40.7636883617432,-73.7368864927471,0.0,0.0,0.0
165,Oakland Gardens-Hollis Hills,40.7393055728599,-73.7545779777739,0.0,0.0,2.16955578538276e6
166,Jamaica,40.7040216502312,-73.7955824419616,1.862764978e6,1.99855117688904e6,1.82301116477151e6
167,South Jamaica,40.6943062745655,-73.7917316525485,2.882998136e6,3.62417679513963e6,0.0
168,Baisley Park,40.679532972367,-73.7899095687877,189680.0695,925195.428019899,2.09885693601668e6
169,Springfield Gardens (North)-Rochdale Village,40.6733306290253,-73.7720529113574,627467.6394,1.13421375368475e6,0.0
170,St. Albans,40.693238415116,-73.7622212186597,1.996022429e6,2.91512818613421e6,0.0
171,Hollis,40.7118647143945,-73.7621127138139,702529.8383,1.29944172436462e6,0.0
172,Glen Oaks-Floral Park-New Hyde Park,40.7459505987738,-73.7109611921767,0.0,0.0,2.32899519901469e6
173,Bellerose,40.7354920441264,-73.7266915763152,0.0,0.0,500408.053228031
174,Queens Village,40.7160822677866,-73.7417543078076,981430.8178,1.63091115236098e6,852284.5597621
175,Cambria Heights,40.6943417325243,-73.7355528139131,601660.901,846870.637062672,985286.68582102
176,Laurelton,40.6759131826207,-73.7445051808698,608571.9333,1.29200060372653e6,0.0
177,Springfield Gardens (South)-Brookville,40.6601670381536,-73.7614796744272,0.0,162404.666645044,0.0
178,Rosedale,40.6590486716717,-73.73566064225,0.0,0.0,0.0
179,Far Rockaway-Bayswater,40.6016978889476,-73.7565525860955,0.0,0.0,1.36424141008293e6
180,Rockaway Beach-Arverne-Edgemere,40.5915681301478,-73.7963079237021,0.0,0.0,0.0
181,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,40.578183662244,-73.860555957281,0.0,0.0,0.0
182,St. George-New Brighton,40.642185774835,-74.0855331672949,0.0,237746.901649421,3.27272507376078e6
183,Tompkinsville-Stapleton-Clifton-Fox Hills,40.6261036795298,-74.0788361762824,1.266679246e6,1.90142698509383e6,2.56151649399059e6
184,Rosebank-Shore Acres-Park Hill,40.6116856124166,-74.0727690832413,0.0,124780.283474785,0.0
185,West New Brighton-Silver Lake-Grymes Hill,40.6280657093345,-74.1013039347588,0.0,0.0,0.0
186,Westerleigh-Castleton Corners,40.6170008045577,-74.1287964787644,0.0,0.0,0.0
187,Port Richmond,40.6338334278201,-74.1331774824803,709989.7873,722445.957726852,0.0
188,Mariner's Harbor-Arlington-Graniteville,40.6313322473796,-74.1673658355876,0.0,0.0,731641.08231932
189,Grasmere-Arrochar-South Beach-Dongan Hills,40.5935395931219,-74.0812736593188,0.0,0.0,0.0
190,New Dorp-Midland Beach,40.5743145808625,-74.1015870943763,0.0,0.0,0.0
191,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,40.5896535072979,-74.1282707990697,37083.22985,0.0,2.2834472240249e6
192,New Springville-Willowbrook-Bulls Head-Travis,40.6037232015601,-74.1754512611261,0.0,0.0,0.0
193,Oakwood-Richmondtown,40.561998139437,-74.1225899187635,0.0,0.0,0.0
194,Great Kills-Eltingville,40.5502530947301,-74.1549723406468,0.0,0.0,311007.767624975
195,Arden Heights-Rossville,40.5526417847042,-74.1969035636583,0.0,0.0,2.33003934529109e6
196,Annadale-Huguenot-Prince's Bay-Woodrow,40.5283913786717,-74.1980430601416,0.0,0.0,3.43722458032827e6
197,Tottenville-Charleston,40.5246451868324,-74.2354841138258,0.0,0.0,797194.90866576
