neighborhood_id,avg_unmet,w_cost,w_eq,centers_opened
1,0.0,1.0,0.5,137
2,0.0,1.0,0.5,137
3,0.0,1.0,0.5,137
4,0.0,1.0,0.5,137
5,0.0,1.0,0.5,137
6,0.0,1.0,0.5,137
7,0.0,1.0,0.5,137
8,0.0,1.0,0.5,137
9,0.0,1.0,0.5,137
10,0.0,1.0,0.5,137
11,0.0,1.0,0.5,137
12,0.0,1.0,0.5,137
13,388828.1456821367,1.0,0.5,137
14,465282.42231273995,1.0,0.5,137
15,134125.814189444,1.0,0.5,137
16,0.0,1.0,0.5,137
17,292945.14315171965,1.0,0.5,137
18,0.0,1.0,0.5,137
19,0.0,1.0,0.5,137
20,0.0,1.0,0.5,137
21,0.0,1.0,0.5,137
22,0.0,1.0,0.5,137
23,0.0,1.0,0.5,137
24,0.0,1.0,0.5,137
25,0.0,1.0,0.5,137
26,0.0,1.0,0.5,137
27,0.0,1.0,0.5,137
28,0.0,1.0,0.5,137
29,0.0,1.0,0.5,137
30,0.0,1.0,0.5,137
31,0.0,1.0,0.5,137
32,0.0,1.0,0.5,137
33,0.0,1.0,0.5,137
34,0.0,1.0,0.5,137
35,0.0,1.0,0.5,137
36,135727.65379711174,1.0,0.5,137
37,0.0,1.0,0.5,137
38,0.0,1.0,0.5,137
39,0.0,1.0,0.5,137
40,0.0,1.0,0.5,137
41,0.0,1.0,0.5,137
42,0.0,1.0,0.5,137
43,0.0,1.0,0.5,137
44,0.0,1.0,0.5,137
45,0.0,1.0,0.5,137
46,0.0,1.0,0.5,137
47,0.0,1.0,0.5,137
48,0.0,1.0,0.5,137
49,0.0,1.0,0.5,137
50,0.0,1.0,0.5,137
51,465282.42231273995,1.0,0.5,137
52,0.0,1.0,0.5,137
53,465282.42231273995,1.0,0.5,137
54,0.0,1.0,0.5,137
55,0.0,1.0,0.5,137
56,0.0,1.0,0.5,137
57,0.0,1.0,0.5,137
58,0.0,1.0,0.5,137
59,0.0,1.0,0.5,137
60,0.0,1.0,0.5,137
61,0.0,1.0,0.5,137
62,0.0,1.0,0.5,137
63,0.0,1.0,0.5,137
64,0.0,1.0,0.5,137
65,0.0,1.0,0.5,137
66,0.0,1.0,0.5,137
67,0.0,1.0,0.5,137
68,0.0,1.0,0.5,137
69,0.0,1.0,0.5,137
70,0.0,1.0,0.5,137
71,0.0,1.0,0.5,137
72,0.0,1.0,0.5,137
73,0.0,1.0,0.5,137
74,0.0,1.0,0.5,137
75,0.0,1.0,0.5,137
76,0.0,1.0,0.5,137
77,0.0,1.0,0.5,137
78,0.0,1.0,0.5,137
79,0.0,1.0,0.5,137
80,0.0,1.0,0.5,137
81,0.0,1.0,0.5,137
82,0.0,1.0,0.5,137
83,0.0,1.0,0.5,137
84,0.0,1.0,0.5,137
85,0.0,1.0,0.5,137
86,0.0,1.0,0.5,137
87,0.0,1.0,0.5,137
88,0.0,1.0,0.5,137
89,0.0,1.0,0.5,137
90,0.0,1.0,0.5,137
91,0.0,1.0,0.5,137
92,0.0,1.0,0.5,137
93,0.0,1.0,0.5,137
94,0.0,1.0,0.5,137
95,0.0,1.0,0.5,137
96,0.0,1.0,0.5,137
97,0.0,1.0,0.5,137
98,0.0,1.0,0.5,137
99,0.0,1.0,0.5,137
100,0.0,1.0,0.5,137
101,0.0,1.0,0.5,137
102,0.0,1.0,0.5,137
103,0.0,1.0,0.5,137
104,0.0,1.0,0.5,137
105,0.0,1.0,0.5,137
106,0.0,1.0,0.5,137
107,0.0,1.0,0.5,137
108,0.0,1.0,0.5,137
109,0.0,1.0,0.5,137
110,0.0,1.0,0.5,137
111,0.0,1.0,0.5,137
112,0.0,1.0,0.5,137
113,0.0,1.0,0.5,137
114,0.0,1.0,0.5,137
115,0.0,1.0,0.5,137
116,0.0,1.0,0.5,137
117,0.0,1.0,0.5,137
118,0.0,1.0,0.5,137
119,0.0,1.0,0.5,137
120,0.0,1.0,0.5,137
121,0.0,1.0,0.5,137
