w_cost,w_eq,obj_value,num_centers,avg_transport_cost,avg_equity_t,avg_total_recv,avg_total_unmet,t_2023,t_2024,t_2025
1.0,0.5,4.807049468031899e6,34,2.1615270696050874e6,1.5370149322845414e6,2.421169351080353e7,2.6601416561031293e7,1.020300361577101e6,1.63091115236098e6,1.9598332829155438e6
1.0,1.0,6.568251846772147e6,26,3.3251252956361e6,994375.5170452794,3.128690287445118e7,1.9526207197383642e7,441461.397,1.5467214663388887e6,994943.6877969492
1.0,2.0,9.107038818193134e6,40,4.432344579947561e6,712449.039707593,3.7224534176734336e7,1.358857589510048e7,193861.58882333056,1.5467214663388892e6,396764.0639605593
1.0,5.0,1.5463380352937669e7,31,4.502921230082194e6,710030.6081903648,3.7292250259216726e7,1.3520859812618086e7,193861.5888233306,1.5467214663388892e6,389508.7694088747
1.0,10.0,2.622697920240897e7,46,4.466060956698022e6,710030.6081903648,3.7292250259216726e7,1.3520859812618086e7,193861.58882333047,1.5467214663388892e6,389508.7694088747
1.0,20.0,4.7465162628523834e7,38,4.483326137101945e6,710030.6081903648,3.7292250259216726e7,1.352085981261809e7,193861.58882333047,1.5467214663388892e6,389508.76940887474
2.0,1.0,9.23700625168315e6,32,2.2400556247434556e6,1.4789650007320798e6,2.472289762809345e7,2.609021244374137e7,981430.8178,1.5467214663388894e6,1.9087427180573498e6
5.0,1.0,1.4697239083122691e7,43,1.4969980623082502e6,2.2607495905271433e6,1.996738800573517e7,3.0845722066099644e7,1.712304818147939e6,2.7864967294085906e6,2.2834472240249e6
1.0,3.0,1.1249786504493713e7,33,4.529511030780427e6,710030.6081903648,3.7292250259216726e7,1.352085981261809e7,193861.5888233304,1.5467214663388894e6,389508.7694088746
1.0,7.0,1.9804478440396506e7,31,4.583835668398842e6,710030.6081903648,3.7292250259216726e7,1.3520859812618086e7,193861.58882333038,1.5467214663388892e6,389508.7694088747
